District,City,Area,LocationType,SyncId,Active
YAWATMAL,AARNI,AARNI,AREA,A000001873,1
NASHIK,NASHIK,ADGAON,AREA,A000001874,1
GOA,AGASIM,AGASIM,AREA,A000001875,1
AMRAVTI,AJANGAON SURJI ,AJANGAON SURJI,AREA,A000001876,1
KOLHAPUR,AJARA,AJARA,AREA,A000001877,1
SOLAPUR,AKKALKOT,AKKALKOT,AREA,A000001878,1
AKOLA,AKOT,AKOT,AREA,A000001880,1
NASHIK,NASHIK,AMBAD,AREA,A000001881,1
NASHIK,NASHIK,AMBAD GAON,AREA,A000001882,1
NASHIK,NASHIK,AMBAD MIDC,AREA,A000001883,1
NASHIK,NASHIK,AMBAD POLICE STATION,AREA,A000001884,1
NASHIK,NASHIK,AMBAD SATPUR LINK ROAD,AREA,A000001885,1
NASHIK,NASHIK,AMBEDKAR NAGAR,AREA,A000001886,1
NAGPUR,NAGPUR,AMRAVATI ROAD,AREA,A000001887,1
AMRAVTI,AMRAVTI,AMRAVTI,AREA,A000001888,1
NASHIK,NASHIK,ANANDWALI,AREA,A000001889,1
MUMBAI,ANDHERI,ANDHERI EAST,AREA,A000001890,1
MUMBAI,ANDHERI,ANDHERI WEST,AREA,A000001891,1
GOA,ANJUNA,ANJUNA,AREA,A000001892,1
NASHIK,NASHIK,ASHARAM BAPU ASHRAM RAOD,AREA,A000001893,1
NASHIK,NASHIK,ASHOK NAGAR,AREA,A000001894,1
NASHIK,NASHIK,ASHOK STAMBH,AREA,A000001895,1
NASHIK,NASHIK,ASHOKA MRAG,AREA,A000001896,1
SANGLI,SANGLI,ASHTA,AREA,A000001897,1
NASHIK,NASHIK,ASHVIN NAGAR,AREA,A000001898,1
GOA,ASSOLNA,ASSOLNA,AREA,A000001899,1
YAWATMAL,BABULGAON,BABULGAON,AREA,A000001900,1
AKOLA,BALAPUR,BALAPUR,AREA,A000001901,1
MUMBAI,BANDRA ,BANDRA EAST,AREA,A000001902,1
MUMBAI,BANDRA,BANDRA WEST,AREA,A000001903,1
SOLAPUR,BARSHI,BARSHI,AREA,A000001904,1
AKOLA,BARSHI TAKLI,BARSHI TAKLI,AREA,A000001905,1
NASHIK,NASHIK,BHABA NAGAR,AREA,A000001906,1
NASHIK,NASHIK,BHAGUR,AREA,A000001907,1
AMRAVTI,BHATKULI,BHATKULI,AREA,A000001908,1
THANE,BHAYANDAR,BHAYANDAR EAST,AREA,A000001909,1
THANE,BHAYANDAR,BHAYANDAR WEST,AREA,A000001910,1
NASHIK,NASHIK,BHUJBAL FARM,AREA,A000001911,1
OSMANABAD,BHUM,BHUM,AREA,A000001912,1
GOA,BICHOLIM,BICHOLIM,AREA,A000001913,1
PALGHAR,BOISAR,BOISAR WEST,AREA,A000001914,1
MUMBAI,BORIVALI,BORIVALI EAST,AREA,A000001915,1
MUMBAI,BORIVALI,BORIVALI WEST,AREA,A000001916,1
BULDHANA,BULDHANA,BULDHANA,AREA,A000001917,1
NAGPUR,BUTTIBORI,BUTTIBORI,AREA,A000001918,1
NAGPUR,NAGPUR,C A ROAD,AREA,A000001919,1
GOA,CALANGUTE,CALANGUTE,AREA,A000001920,1
NASHIK,NASHIK,CANADA CORNER,AREA,A000001921,1
GOA,CANCONA,CANCONA,AREA,A000001922,1
NASHIK,NASHIK,CHANDAK CIRCLE,AREA,A000001923,1
AMRAVTI,CHANDUR BAJAR,CHANDUR BAJAR,AREA,A000001924,1
AMRAVTI,CHANDUR RAILWAY,CHANDUR RAILWAY,AREA,A000001925,1
MUMBAI,CHARNI ROAD,CHARNI ROAD EAST,AREA,A000001926,1
NASHIK,PIMPALGAON BASWANT,CHICHKHED PHATA,AREA,A000001927,1
AMRAVTI,CHIKHILDRA,CHIKHILDARA,AREA,A000001928,1
BULDHANA,CHIKLI,CHIKLI,AREA,A000001929,1
RATNAGIRI,CHIPLUN,CHIPLUN,AREA,A000001930,1
MUMBAI,CHURCHGATE,CHURCHGATE,AREA,A000001931,1
NASHIK,NASHIK,CIDCO,AREA,A000001932,1
NASHIK,NASHIK,COLLEGE RAOD,AREA,A000001933,1
MUMBAI,CST,CST,AREA,A000001934,1
NASHIK,NASHIK,DACHAK PACHAK,AREA,A000001935,1
NASHIK,NASHIK,DADAJIKONDDEV NAGAR,AREA,A000001936,1
MUMBAI,DADAR,DADAR WEST,AREA,A000001937,1
PALGHAR,DAHANU ROAD,DAHANU ROAD WEST,AREA,A000001938,1
MUMBAI,DAHISAR ,DAHISAR EAST,AREA,A000001939,1
MUMBAI,DAHISAR ,DAHISAR WEST,AREA,A000001940,1
YAWATMAL,DARWAH,DARWAH,AREA,A000001941,1
AMRAVTI,DARYAPUR,DARYAPUR,AREA,A000001942,1
NASHIK,NASHIK,DEEPALI NAGAR,AREA,A000001943,1
NASHIK,NASHIK,DEOLALI CAMP,AREA,A000001944,1
NASHIK,NASHIK,DEOLALICAMP,AREA,A000001945,1
BULDHANA,DEULGAON RAJA,DEULGAON RAJA,AREA,A000001946,1
AMRAVTI,DHAMANGAON RAILWAY,DHAMANGAON RAILWAY,AREA,A000001947,1
AMRAVTI,DHARNI,DHARNI,AREA,A000001948,1
NASHIK,NASHIK,DHATRAK PHATA,AREA,A000001949,1
NASHIK,NASHIK,DHRUVA NGAR,AREA,A000001950,1
YAWATMAL,DIGRAS,DIGRAS,AREA,A000001951,1
NASHIK,NASHIK,DINDORI NAKA,AREA,A000001952,1
MUMBAI,DOCKYARD,DOCKYARD WEST,AREA,A000001953,1
NASHIK,NASHIK,DWARKA,AREA,A000001954,1
AHMEDNAGAR,AHMEDNAGAR,EAST AHMEDNAGAR,AREA,A000001955,1
AURANGABAD,AURANGBAAD,EAST AURANGABAD,AREA,A000001956,1
BEED,GAVERAI,EAST GAVERAI,AREA,A000001957,1
JALNA,JALNA,EAST JALNA,AREA,A000001958,1
AHMEDNAGAR,JAMKHED,EAST JAMKHED,AREA,A000001959,1
AHMEDNAGAR,KOPERGAON,EAST KOPERGAON,AREA,A000001960,1
AHMEDNAGAR,LONI ( BK),EAST LONI ( BK),AREA,A000001961,1
AHMEDNAGAR,SANGAMNER,EAST SANGAMNER,AREA,A000001962,1
AHMEDNAGAR,SHRIRAMPUR,EAST SHRIRAMPUR,AREA,A000001963,1
MUMBAI,ELPHINSTONE,ELPHINSTONE WEST,AREA,A000001964,1
KOLHAPUR,GADHINGLAJ,GADHINGLAJ,AREA,A000001965,1
NASHIK,NASHIK,GANDHINAGAR,AREA,A000001966,1
NASHIK,NASHIK,GANGAPUR,AREA,A000001967,1
NASHIK,NASHIK,GANGAPUR ROAD,AREA,A000001968,1
KOLHAPUR,GARGOTI,GARGOTI,AREA,A000001969,1
NAGPUR,NAGPUR,GHAT ROAD,AREA,A000001970,1
YAWATMAL,GHATANJI,GHATANJI,AREA,A000001971,1
NASHIK,NASHIK,GIRNARE,AREA,A000001972,1
MUMBAI,GOREGOAN,GOREGOAN EAST,AREA,A000001973,1
MUMBAI,GOREGOAN,GOREGOAN WEST,AREA,A000001974,1
NASHIK,NASHIK,GOVIND NAGAR,AREA,A000001975,1
MUMBAI,GRANT ROAD,GRANT ROAD EAST,AREA,A000001976,1
MUMBAI,GRANT ROAD,GRANT ROAD WEST,AREA,A000001977,1
NASHIK,NASHIK,GURUGOVIND SINGH SCHOOL,AREA,A000001978,1
KOLHAPUR,HALONDI,HALONDI,AREA,A000001979,1
NASHIK,NASHIK,HANUMANWADI,AREA,A000001980,1
KOLHAPUR,SHIROLI,HATKALANGALE,AREA,A000001981,1
NAGPUR,NAGPUR,HINGNA ROAD,AREA,A000001982,1
NASHIK,NASHIK,HIRAWADI,AREA,A000001983,1
KOLHAPUR,HUPARI,HUPARI,AREA,A000001984,1
KOLHAPUR,KURUNDWAD,ICHALKARANJI,AREA,A000001985,1
NASHIK,NASHIK,INDIRA NAGAR,AREA,A000001986,1
NASHIK,NASHIK,INDRAKUND,AREA,A000001987,1
SANGLI,SANGLI,ISLAMPUR,AREA,A000001988,1
NASHIK,NASHIK,JAIBHAVANI RAOD,AREA,A000001989,1
BULDHANA,JALGAON JAMOD,JALGAON JAMOD,AREA,A000001990,1
NASHIK,NASHIK,JATRA HOTEL,AREA,A000001991,1
BHNDARA,BHANDARA,"JAVAHARNAGAR, MAUDA",AREA,A000001992,1
KOLHAPUR,JAYSINGPUR,JAYSINGPUR,AREA,A000001993,1
MUMBAI,JOGESHWARI,JOGESHWARI EAST,AREA,A000001994,1
MUMBAI,JOGESHWARI,JOGESHWARI WEST,AREA,A000001995,1
OSMANABAD,KALAMB-OSMANABAD,KALAMB-OSMANABAD,AREA,A000001996,1
YAWATMAL,KALAMB-YAWATMAL,KALAMB-YAWATMAL,AREA,A000001997,1
NASHIK,NASHIK,KALASKAR NAGAR,AREA,A000001998,1
NAGPUR,KATOL,KALMESHWAR,AREA,A000001999,1
