District,City ,LocationType,CityType,ConveyanceType,STD,SyncId,Active
RAJASTHAN,ABU ROAD,CITY,C,OTHER,261,C00001,1
TELANGANA,ACHAMPET,CITY,C,OTHER,261,C00002,1
ANDHRA PRADESH,ADDANKI,CITY,C,OTHER,261,C00003,1
KERALA,ADOOR,CITY,C,OTHER,261,C00004,1
UTTAR PRADESH,AGRA,CITY,C,OTHER,261,C00005,1
GUJARAT,AHMEDABAD,CITY,C,OTHER,261,C00006,1
MAHARASHTRA,AHMEDNAGAR,CITY,C,OTHER,261,C00007,1
RAJASTHAN,AJMER,CITY,C,OTHER,261,C00008,1
MAHARASHTRA,AKLUJ,CITY,C,OTHER,261,C00009,1
MAHARASHTRA,AKOLA,CITY,C,OTHER,261,C00010,1
KERALA,ALAPUZHA,CITY,C,OTHER,261,C00011,1
MAHARASHTRA,ALIBAG,CITY,C,OTHER,261,C00012,1
UTTAR PRADESH,ALIGARH,CITY,C,OTHER,261,C00013,1
ANDHRA PRADESH,ALLAGADDA,CITY,C,OTHER,261,C00014,1
UTTAR PRADESH,ALLAHABAD,CITY,C,OTHER,261,C00015,1
TELANGANA,ALLAMPUR X ROAD,CITY,C,OTHER,261,C00016,1
KERALA,ALLEPPEY,CITY,C,OTHER,261,C00017,1
RAJASTHAN,ALWAR,CITY,C,OTHER,261,C00018,1
TELANGANA,AMANGHAL,CITY,C,OTHER,261,C00019,1
HARYANA,AMBALA CITY,CITY,C,OTHER,261,C00020,1
KERALA,AMBALAPUZHA,CITY,C,OTHER,261,C00021,1
GUJARAT,AMBAPUR,CITY,C,OTHER,261,C00022,1
MAHARASHTRA,AMBEJOGAI,CITY,C,OTHER,261,C00023,1
MAHARASHTRA,AMRAVATI,CITY,C,OTHER,261,C00024,1
PUNJAB,AMRITSAR,CITY,C,OTHER,261,C00025,1
GUJARAT,ANAND,CITY,C,OTHER,261,C00026,1
ANDHRA PRADESH,ANANTHAPUR,CITY,C,OTHER,261,C00027,1
ODISHA,ANGUL,CITY,C,OTHER,261,C00028,1
GUJARAT,ANKLESHWAR,CITY,C,OTHER,261,C00029,1
MADHYA PRADESH,ANUPPUR,CITY,C,OTHER,261,C00030,1
TELANGANA,ASIFABAD,CITY,C,OTHER,261,C00031,1
TELANGANA,ASWAPURAM,CITY,C,OTHER,261,C00032,1
TELANGANA,ASWARAOPET,CITY,C,OTHER,261,C00033,1
KARNATAKA,ATHANI,CITY,C,OTHER,261,C00034,1
TELANGANA,ATMAKUR,CITY,C,OTHER,261,C00035,1
TAMIL NADU,ATTUR,CITY,C,OTHER,261,C00036,1
MAHARASHTRA,AUNDH,CITY,C,OTHER,261,C00037,1
UTTAR PRADESH,AURAIYA,CITY,C,OTHER,261,C00038,1
MAHARASHTRA,AURANGABAD,CITY,C,OTHER,261,C00039,1
KARNATAKA,BABALESHWA,CITY,C,OTHER,261,C00040,1
UTTAR PRADESH,BABRALA,CITY,C,OTHER,261,C00041,1
HIMACHAL PRADESH,BADDI,CITY,C,OTHER,261,C00042,1
UTTAR PRADESH,BALLIA,CITY,C,OTHER,261,C00043,1
KARNATAKA,BANGALORE,CITY,C,OTHER,261,C00044,1
RAJASTHAN,BANSWARA,CITY,C,OTHER,261,C00045,1
MAHARASHTRA,BARAMATI,CITY,C,OTHER,261,C00046,1
RAJASTHAN,BARAN,CITY,C,OTHER,261,C00047,1
UTTAR PRADESH,BAREILLY,CITY,C,OTHER,261,C00048,1
ODISHA,BARGARH,CITY,C,OTHER,261,C00049,1
ODISHA,BARIPADA,CITY,C,OTHER,261,C00050,1
RAJASTHAN,BARMER,CITY,C,OTHER,261,C00051,1
PUNJAB,BARNALA,CITY,C,OTHER,261,C00052,1
MAHARASHTRA,BASMATNAGAR,CITY,C,OTHER,261,C00053,1
UTTAR PRADESH,BASTI,CITY,C,OTHER,261,C00054,1
PUNJAB,BATALA,CITY,C,OTHER,261,C00055,1
PUNJAB,BATHINDA,CITY,C,OTHER,261,C00056,1
DELHI,BAWANA,CITY,C,OTHER,261,C00057,1
PUNJAB,BEAS,CITY,C,OTHER,261,C00058,1
MAHARASHTRA,BEED,CITY,C,OTHER,261,C00059,1
BIHAR,BEGUSARAI,CITY,C,OTHER,261,C00060,1
KARNATAKA,BELGAUM,CITY,C,OTHER,261,C00061,1
TELANGANA,BELLAMPALLY,CITY,C,OTHER,261,C00062,1
KARNATAKA,BELLARY,CITY,C,OTHER,261,C00063,1
ODISHA,BELPAHAR,CITY,C,OTHER,261,C00064,1
KARNATAKA,BENGALURU,CITY,C,OTHER,261,C00065,1
ODISHA,BERHAMPUR,CITY,C,OTHER,261,C00066,1
BIHAR,BETTIAH,CITY,C,OTHER,261,C00067,1
MADHYA PRADESH,BETUL,CITY,C,OTHER,261,C00068,1
TELANGANA,BHADRACHALAM,CITY,C,OTHER,261,C00069,1
BIHAR,BHAGALPUR,CITY,C,OTHER,261,C00070,1
TELANGANA,BHAINSA,CITY,C,OTHER,261,C00071,1
GUJARAT,BHARUCH,CITY,C,OTHER,261,C00072,1
PUNJAB,BHATINDA,CITY,C,OTHER,261,C00073,1
GUJARAT,BHAVNAGAR,CITY,C,OTHER,261,C00074,1
RAJASTHAN,BHILWARA,CITY,C,OTHER,261,C00075,1
MAHARASHTRA,BHINGAR,CITY,C,OTHER,261,C00076,1
RAJASTHAN,BHIWADI,CITY,C,OTHER,261,C00077,1
MAHARASHTRA,BHIWANDI,CITY,C,OTHER,261,C00078,1
MAHARASHTRA,BHOKAR,CITY,C,OTHER,261,C00079,1
MADHYA PRADESH,BHOPAL,CITY,C,OTHER,261,C00080,1
MAHARASHTRA,BHOSARE,CITY,C,OTHER,261,C00081,1
ODISHA,BHUBANESWAR,CITY,C,OTHER,261,C00082,1
GUJARAT,BHUJ,CITY,C,OTHER,261,C00083,1
TELANGANA,BHUPALPALLY,CITY,C,OTHER,261,C00084,1
KARNATAKA,BIDAR,CITY,C,OTHER,261,C00085,1
TELANGANA,BIGINEPALLY,CITY,C,OTHER,261,C00086,1
KARNATAKA,BIJAPUR,CITY,C,OTHER,261,C00087,1
RAJASTHAN,BIKANER,CITY,C,OTHER,261,C00088,1
CHHATTISGARH,BILASPUR,CITY,C,OTHER,261,C00089,1
BIHAR,BODHGAYA,CITY,C,OTHER,261,C00090,1
JHARKHAND,BOKARO STEEL CITY,CITY,C,OTHER,261,C00091,1
KARNATAKA,BRAHMAVARA,CITY,C,OTHER,261,C00092,1
MAHARASHTRA,BUDHGAON,CITY,C,OTHER,261,C00093,1
UTTAR PRADESH,BULANDSHAHAR,CITY,C,OTHER,261,C00094,1
WEST BENGAL,BURDWAN,CITY,C,OTHER,261,C00095,1
TELANGANA,C PENDYAL,CITY,C,OTHER,261,C00096,1
KERALA,CALICUT,CITY,C,OTHER,261,C00097,1
KARNATAKA,CHAMARAJANAGAR,CITY,C,OTHER,261,C00098,1
CHHATTISGARH,CHAMPA,CITY,C,OTHER,261,C00099,1
RAJASTHAN,CHANDERIA,CITY,C,OTHER,261,C00100,1
CHANDIGARH,CHANDIGARH,CITY,C,OTHER,261,C00101,1
MAHARASHTRA,CHANDRAPUR,CITY,C,OTHER,261,C00102,1
TELANGANA,CHANDRUKONDA,CITY,C,OTHER,261,C00103,1
KARNATAKA,CHANNARAYA,CITY,C,OTHER,261,C00104,1
KERALA,CHEHGANNUR,CITY,C,OTHER,261,C00105,1
TAMIL NADU,CHENGALPET,CITY,C,OTHER,261,C00106,1
KERALA,CHENGANNUR,CITY,C,OTHER,261,C00107,1
TAMIL NADU,CHENNAI,CITY,C,OTHER,261,C00108,1
TELANGANA,CHENNUR,CITY,C,OTHER,261,C00109,1
TELANGANA,CHERLA,CITY,C,OTHER,261,C00110,1
KERALA,CHERTHALA,CITY,C,OTHER,261,C00111,1
TELANGANA,CHERYAL,CITY,C,OTHER,261,C00112,1
TELANGANA,CHEVELLA,CITY,C,OTHER,261,C00113,1
MADHYA PRADESH,CHHINDWARA,CITY,C,OTHER,261,C00114,1
KARNATAKA,CHIKKABALLAPUR,CITY,C,OTHER,261,C00115,1
KARNATAKA,CHIKMAGALUR,CITY,C,OTHER,261,C00116,1
ANDHRA PRADESH,CHIRALA,CITY,C,OTHER,261,C00117,1
KARNATAKA,CHITRADURG,CITY,C,OTHER,261,C00118,1
ANDHRA PRADESH,CHITTOOR,CITY,C,OTHER,261,C00119,1
KERALA,COCHIN,CITY,C,OTHER,261,C00120,1
KERALA,Cochin town,CITY,C,OTHER,261,C00121,1
TAMIL NADU,COIMBATORE,CITY,C,OTHER,261,C00122,1
TAMIL NADU,CUMBUM,CITY,C,OTHER,261,C00123,1
ANDHRA PRADESH,DACHEPALLI,CITY,C,OTHER,261,C00124,1
DADRA AND NAGAR HAVELI,DADRA & NAGAR HAVELI,CITY,C,OTHER,261,C00125,1
GUJARAT,DAHEJ,CITY,C,OTHER,261,C00126,1
TELANGANA,DAMMAPET,CITY,C,OTHER,261,C00127,1
MAHARASHTRA,DAPOLI,CITY,C,OTHER,261,C00128,1
KARNATAKA,DAVANGERE,CITY,C,OTHER,261,C00129,1
MAHARASHTRA,DEGLOOR,CITY,C,OTHER,261,C00130,1
GUJARAT,DEHGAM,CITY,C,OTHER,261,C00131,1
