State,District,City ,LocationType,CityType,ConveyanceType,STD,SyncId,Active
UP,AGRA,AGRA,CITY,N,Train & Bus,0,UP0001,1
UP,ALIGARH,ALIGARH,CITY,N,Train & Bus,0,UP0002,1
UP,BANDA,BANDA,CITY,N,Train & Bus,0,UP0011,1
UP,BARABANKI,BARABANKI,CITY,N,Train & Bus,0,UP0012,1
UP,BUDAUN,BUDAUN,CITY,N,Train & Bus,0,UP0016,1
UP,CHITRAKOOT,CHITRAKOOT,CITY,N,Train & Bus,0,UP0019,1
UP,ETAH,ETAH,CITY,N,Train & Bus,0,UP0021,1
UP,FIROZABAD,FIROZABAD,CITY,N,Train & Bus,0,UP0026,1
UP,HAMIRPUR,HAMIRPUR,CITY,N,Train & Bus,0,UP0032,1
UP,HARDOI,HARDOI,CITY,N,Train & Bus,0,UP0033,1
UP,HATHRAS,HATHRAS,CITY,N,Train & Bus,0,UP0034,1
UP,JALAUN,JALAUN,CITY,N,Train & Bus,0,UP0035,1
UP,JAUNPUR,JAUNPUR,CITY,N,Train & Bus,0,UP0036,1
UP,JHANSI,JHANSI,CITY,N,Train & Bus,0,UP0037,1
UP,LAKHIMPUR KHIRI,LAKHIMPUR KHIRI,CITY,N,Train & Bus,0,UP0045,1
UP,LALITPUR,LALITPUR,CITY,N,Train & Bus,0,UP0046,1
UP,LUCKNOW,LUCKNOW,CITY,N,Train & Bus,0,UP0047,1
UP,MAHOBA,MAHOBA,CITY,N,Train & Bus,0,UP0049,1
UP,MAINPURI,MAINPURI,CITY,N,Train & Bus,0,UP0050,1
UP,MATHURA,MATHURA,CITY,N,Train & Bus,0,UP0051,1
UP,PRATAPGARH,PRATAPGARH,CITY,N,Train & Bus,0,UP0058,1
UP,RAIBARELI,RAIBARELI,CITY,N,Train & Bus,0,UP0059,1
UP,SITAPUR,SITAPUR,CITY,N,Train & Bus,0,UP0067,1
UP,SULTANPUR,SULTANPUR,CITY,N,Train & Bus,0,UP0069,1
UP,UNNAO,UNNAO,CITY,N,Train & Bus,0,UP0070,1
UP,KANSHIRAM NAGAR,KANSHIRAM NAGAR,CITY,N,Train & Bus,0,UP0042,1
