State,District,LocationType,SyncId,Active
ANDAMAN AND NICOBAR ISLAND,ANDAMAN AND NICOBAR ISLAND,DISTRICT,D00001,1
ANDHRA PRADESH,ANDHRA PRADESH,DISTRICT,D00002,1
ARUNACHAL PRADESH,ARUNACHAL PRADESH,DISTRICT,D00003,1
ASSAM,ASSAM,DISTRICT,D00004,1
BIHAR,BIHAR,DISTRICT,D00005,1
CHANDIGARH,CHANDIGARH,DISTRICT,D00006,1
CHHATTISGARH,CHHATTISGARH,DISTRICT,D00007,1
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,DISTRICT,D00008,1
DAMAN AND DIU,DAMAN AND DIU,DISTRICT,D00009,1
DELHI,DELHI,DISTRICT,D00010,1
GOA,GOA,DISTRICT,D00011,1
GUJARAT,GUJARAT,DISTRICT,D00012,1
HARYANA,HARYANA,DISTRICT,D00013,1
HIMACHAL PRADESH,HIMACHAL PRADESH,DISTRICT,D00014,1
JAMMU AND KASHMIR,JAMMU AND KASHMIR,DISTRICT,D00015,1
JHARKHAND,JHARKHAND,DISTRICT,D00016,1
KARNATAKA,KARNATAKA,DISTRICT,D00017,1
KERALA,KERALA,DISTRICT,D00018,1
LAKSHADWEEP,LAKSHADWEEP,DISTRICT,D00019,1
MADHYA PRADESH,MADHYA PRADESH,DISTRICT,D00020,1
MAHARASHTRA,MAHARASHTRA,DISTRICT,D00021,1
MANIPUR,MANIPUR,DISTRICT,D00022,1
MEGHALAYA,MEGHALAYA,DISTRICT,D00023,1
MIZORAM,MIZORAM,DISTRICT,D00024,1
NAGALAND,NAGALAND,DISTRICT,D00025,1
ODISHA,ODISHA,DISTRICT,D00026,1
PUDUCHERRY,PUDUCHERRY,DISTRICT,D00027,1
PUNJAB,PUNJAB,DISTRICT,D00028,1
RAJASTHAN,RAJASTHAN,DISTRICT,D00029,1
SIKKIM,SIKKIM,DISTRICT,D00030,1
TAMIL NADU,TAMIL NADU,DISTRICT,D00031,1
TELANGANA,TELANGANA,DISTRICT,D00032,1
TRIPURA,TRIPURA,DISTRICT,D00033,1
UTTAR PRADESH,UTTAR PRADESH,DISTRICT,D00034,1
UTTARAKHAND,UTTARAKHAND,DISTRICT,D00035,1
WEST BENGAL,WEST BENGAL,DISTRICT,D00036,1
