State,District,LocationType,SyncId,Active
Uttar Pradesh,KASGANJ,DISTRICT,,1
Uttar Pradesh,KAUSHAMBI,DISTRICT,,1
Uttar Pradesh,KUSHINAGAR,DISTRICT,,1
Uttar Pradesh,LAKHIMPUR,DISTRICT,,1
Uttar Pradesh,LALITPUR,DISTRICT,,1
Uttar Pradesh,LUCKNOW,DISTRICT,,1
Uttar Pradesh,MAHARAJGANJ,DISTRICT,,1
Uttar Pradesh,MAHOBA,DISTRICT,,1
Uttar Pradesh,MAINPURI,DISTRICT,,1
Uttar Pradesh,MATHURA,DISTRICT,,1
Uttar Pradesh,MAU,DISTRICT,,1
Uttar Pradesh,MEERUT,DISTRICT,,1
Uttar Pradesh,MIRZAPUR,DISTRICT,,1
Uttar Pradesh,MORADABAD,DISTRICT,,1
Uttar Pradesh,MUZAFFARNAGAR,DISTRICT,,1
Uttar Pradesh,PILIBHIT,DISTRICT,,1
Uttar Pradesh,PRATAPGARH,DISTRICT,,1
Uttar Pradesh,RAEBARELI,DISTRICT,,1
Uttar Pradesh,RAMPUR,DISTRICT,,1
Uttar Pradesh,SAHARANPUR,DISTRICT,,1
Uttar Pradesh,SAMBHAL,DISTRICT,,1
Uttar Pradesh,SANTKABIR,DISTRICT,,1
Uttar Pradesh,SANTRAVIDAS,DISTRICT,,1
Uttar Pradesh,SHAHJAHANPUR,DISTRICT,,1
Uttar Pradesh,SHAMLI,DISTRICT,,1
Uttar Pradesh,SHRAVASTI,DISTRICT,,1
Uttar Pradesh,SIDDHARTHNAGAR,DISTRICT,,1
Uttar Pradesh,SITAPUR,DISTRICT,,1
Uttar Pradesh,SONBHADRA,DISTRICT,,1
Uttar Pradesh,SULTANPUR,DISTRICT,,1
Uttar Pradesh,UNNAO,DISTRICT,,1
Uttar Pradesh,VARANASI,DISTRICT,,1
West Bengal,BANKURA,DISTRICT,,1
West Bengal,BARDHAMAN,DISTRICT,,1
West Bengal,BIRBHUM,DISTRICT,,1
West Bengal,COOCH BEHAR,DISTRICT,,1
West Bengal,DARJEELING,DISTRICT,,1
West Bengal,EAST MIDNAPORE,DISTRICT,,1
West Bengal,HOOGHLY,DISTRICT,,1
West Bengal,HOWRAH,DISTRICT,,1
West Bengal,JALPAIGURI,DISTRICT,,1
West Bengal,KOLKATA,DISTRICT,,1
West Bengal,MALDA,DISTRICT,,1
West Bengal,MURSHIDABAD,DISTRICT,,1
West Bengal,NADIA,DISTRICT,,1
West Bengal,NORTH 24 PARGANAS,DISTRICT,,1
West Bengal,NORTH DINAJPUR,DISTRICT,,1
West Bengal,PURULIA,DISTRICT,,1
West Bengal,SOUTH 24 PARGANAS,DISTRICT,,1
West Bengal,SOUTH DINAJPUR,DISTRICT,,1
West Bengal,WEST MIDNAPORE,DISTRICT,,1
