Varchar(150),Varchar(150),Varchar(150),INT,Varchar(6),Varchar(50),Varchar(35),nvarchar(50),nvarchar(50),nvarchar(50),nvarchar(50),Varchar(50),,,Bit,"numeric(18,2)","numeric(18,2)",int,"numeric(18,2)",,Varchar(15)
DistributorName*,Address1,Address2,City*,Pin,Email*,MobileNo.*,CstNo.,VatTIN,ServiceTAxReg.No.,PanNO.,SyncID,UserName*,RoleName*,Active,CreditLimit,Outstanding,CreditDays,OpenOrder,Remarks,Phone
,,,,,,,,,,,,,,,,,,,,
ARYA TRADERS,R.N.SHAW MARKET , ,PURNIA,854301,mr.aryatraders@rediffmail.com,9431292366,,,,,1000019,MG08,Distributor,,2000000,-1690446.37,,,,
ADITYA PLASTICS & CHEMICALS PVT.,NEW NO. 73 (OLD NO.35)  1ST FLOOR , ,CHENNAI,600001, , ,,,,,1000040,MG04,Distributor,,1,-88194,,,,
ARUN TUBE COMPANY,79/23 LATOUCHE ROAD , ,KANPUR,208001,aruntube09@gmail.com, ,,,,,1000064,MG08,Distributor,,1,1498,,,,
BHAGWATI MACHINERY STORE,OPP. ANAJ MANDI  DISTT. HISSAR  NAR, ,NARNAUL,125001,bhagwati.narnaud@gmail.com, ,,,,,1000118,MG08,Distributor,,1,13500,,,,
CHEMTECH AGENCIES,NO.24  3RD FLOOR  PRECISION PLAZA , ,TEYNAMPET,600018,balaji@chemtech.net.in,9944945440,,,,,1000143,MG04,Distributor,,1,0,,,,
IEC FABCHEM LIMITED,861-A VAIGAI COLONY  J-BLOCK  15TH, ,CHENNAI,600040, , ,,,,,1000249,MG04,Distributor,,1,-85333,,,,
WATER TREATMENT EQUIPMENTS,SR.NO 80/1  BHOSARI ALANDI ROAD MAG, ,PUNE,412105,prasad@watertreatmentindia.net, ,,,,,1000346,MG02,Distributor,,1,0,,,,
NAVRANG CEMENT & SANITARY,BHOPAL PURA ROAD  SHASTRI NAGAR, ,BHILWARA,311001,navrang.sanitary40310@gmail.com,9828940310,,,,,1000442,MG08,Distributor,,2000000,-669514,,,,
SHREE SAPTHAGIRI ENTERPRISES,24-1/21-H CHITTUKOIL STREET , ,SALEM,636001,shreesapthagiri@gmail.com,98946342239,,,,,1000566,MG09,Distributor,,2000000,-3842008,,,,
SHREE PADMAVATI ENGINEERS (I) PVT.,NORTH EYE CAPE TOWN SECTOR-74, ,GAUTAMBUDDHNAGAR,201301,pankaj@khodiyargroup.com, ,,,,,1000685,MG10,Distributor,,1,-2147948,,,,
SANTHI PVC PIPES,8-24-21 SHOP NO:8 YELORI SHOPPING C, ,RAJAHMUNDR,533101, , ,,,,,1000706,MG01,Distributor,,1,372462,,,,
VIJAYALAXMI ENTERPRISES,H.NO. 5-6-158    DWARAKA NAGAR , ,NIZAMABAD,503003,vilaents@gmail.com,9848071369,,,,,1000798,MG01,Distributor,,2000000,-868828.84,,,,
D.B POWER LTD.,VILLAGE BADADHARA  TEHSIL DABHARA , ,CHAMPA,495695, , ,,,,,1000941,MG04,Distributor,,1,0,,,,
SHANKARA INFRASTRUCTURE MATERIALS L,GODOWN AT SHOP # 1  GROUND FLOOR BA, ,MANGLORE,575001, , ,,,,,1001052,MG03,Distributor,,1,0,,,,
MAXIMA FRP PRODUCT, , ,VAPI,396195,purchase@maximafrp.com,9510634467,,,,,1001112,MG08,Distributor,,1,0,,,,
PRAJAPITA BRAHMA KUMARIS ISHWARIYA,SURYA KIRAN , ,ABU ROAD,307510,bkrajendrasv@gmail.com, ,,,,,1001152,MG08,Distributor,,1,0,,,,
SANCHETI STORES,MAITIDEVI  P.B.NO. 12632, ,KATHMANDU,284403,k.jainktm@gmail.com, ,,,,,2000000,MG08,Distributor,,1,0,,,,
MEWAR TRADERS & ENGINEERS,77/3 ASHOK NAGAR , ,UDAIPUR,313001, ,9001361365,,,,,2000006,MG05,Distributor,,1,0,,,,
BME SERVICES (PVT) LTD.,NO. 179/3 POLHENGODA RD  KIRULAPONA, ,COLOMBO,5, , ,,,,,2000014,MG05,Distributor,,1,0,,,,
ETA STAR ENGGINERING & CONTRACTING-,C-RING ROAD 1ST FLOOR P.O.BOX NO.:23773 , ,DOHA,., , ,,,,,2000020,MG05,Distributor,,1,0,,,,
POPULAR TRADERS,5 RAGHUVIR PARA  G.K.ROAD , ,RAJKOT,360001,popular.traders@hotmail.com, ,,,,,1000460,MG08,Distributor,,32400000,-2827915.19,,,,
PARADEEP PHOSPHATES LTD,PO: PPL TOWNSHIP  DIST: JAGATSINGHP, ,PARADEEP,754145, ,9937205497,,,,,1000462,MG08,Distributor,,1,0,,,,
TANSI ELECTRICALS & COMMUNICATIONS,D.NO:10/526-4  M.G. ROAD , ,RAILWAY KODUR,516101,ssreddy1024@gmail.com, ,,,,,1001186,MG08,Distributor,,1,0,,,,
BLUE STAR ENGINEERING & ELECT. LTD.,NO.46/104 GARUDA BUILDING, ,CHENNAI,600086,muthaiyang@bluestarindia.com,9042045233,,,,,1001211,MG09,Distributor,,1,-565055,,,,
ALS MARKETING AGENCIES,78  MADURAI ROAD , ,TIRUCHIRAPPALLI,620008,alspipestrichy@gmail.com,73737579199,,,,,1001236,MG09,Distributor,,1,-2464555,,,,
RIDDHI SIDDHI SALES,PLOT NO:115 MALSHIRAS ROAD  A/P. SANGRAM NAGAR, ,AKLUJ,413101,nsk8001@gmail.com, ,,,,,1001257,MG02,Distributor,,1,-3636,,,,
