Area,BEAT,Description,LocationType,SyncId,Active
SOUTH DELHI,Bhogal  Jangpura  Maharani Bagh  Defence Colony,Bhogal  Jangpura  Maharani Bagh  Defence Colony,BEAT,,1
SOUTH DELHI,Bharat Nagar  New Friends Colony  Taimoor Nagar  Jamia  Okhla Vihar,Bharat Nagar  New Friends Colony  Taimoor Nagar  Jamia  Okhla Vihar,BEAT,,1
SOUTH DELHI,Kotla Mubarakpur  South Extn. Part-I  Masjid Moth(South Extn. Part-II),Kotla Mubarakpur  South Extn. Part-I  Masjid Moth(South Extn. Part-II),BEAT,,1
SOUTH DELHI,Lajpat Nagar-I & II  Sri Niwaspuri  Amar Colony  Garhi  East of Kailash  Zamrudpur  GK-I,Lajpat Nagar-I & II  Sri Niwaspuri  Amar Colony  Garhi  East of Kailash  Zamrudpur  GK-I,BEAT,,1
SOUTH DELHI,Yusuf Sarai  Green Park  Hauz Khas  Kalu Sarai  Katwarya Sarai  Munirka  ,Yusuf Sarai  Green Park  Hauz Khas  Kalu Sarai  Katwarya Sarai  Munirka  ,BEAT,,1
SOUTH DELHI,Prithviraj Market  Khanna Market  Pilanji  Mohammadpur  Safdarjung Enclave,Prithviraj Market  Khanna Market  Pilanji  Mohammadpur  Safdarjung Enclave,BEAT,,1
SOUTH DELHI,Lado Sarai  Mehrauli  Saidulajab  IGNOU Road  Saket  Freedomfighter Enclave,Lado Sarai  Mehrauli  Saidulajab  IGNOU Road  Saket  Freedomfighter Enclave,BEAT,,1
SOUTH DELHI,Kishangarh  Masoodpur  Vasant Vihar  Vasant Kunj  Mahipalpur,Kishangarh  Masoodpur  Vasant Vihar  Vasant Kunj  Mahipalpur,BEAT,,1
SOUTH DELHI,Fatehpur Beri  Chhattarpur  Chhattarpur Extn.  Ghitorni  Sultanpur  Aaya Nagar,Fatehpur Beri  Chhattarpur  Chhattarpur Extn.  Ghitorni  Sultanpur  Aaya Nagar,BEAT,,1
SOUTH DELHI,Kalkaji  Govindpuri  Govindpuri Extn.  Tuglakabad Extn.  CR Park  GK-II,Kalkaji  Govindpuri  Govindpuri Extn.  Tuglakabad Extn.  CR Park  GK-II,BEAT,,1
SOUTH DELHI,Gautam Nagar  Malviya Nagar  Khirki Extn.  Hauz Rani  Chirag Delhi  Gulmohar Enclave,Gautam Nagar  Malviya Nagar  Khirki Extn.  Hauz Rani  Chirag Delhi  Gulmohar Enclave,BEAT,,1
