DocId*,DistributorSynchid*,PostingDate*,Narration,Amount,crAmount,DrAmount,CompanyCode,Entry No_
SG-ST-18-01463,C0001730,27/04/2018,Invoice SG-ST-18-01495,585840.22,0,585840.22,,2072879
SG-ST-18-01464,C0015470,27/04/2018,Invoice SG-ST-18-01504,1347532.98,0,1347532.98,,2072887
SG-SE-18-00400,C0015470,27/04/2018,Invoice SG-SE-18-00400,41420.16,0,41420.16,,2072889
SG-ST-18-01465,C0001080,27/04/2018,Invoice SG-ST-18-01544,217034.68,0,217034.68,,2072922
SG-ST-18-01466,C0008330,27/04/2018,Invoice SG-ST-18-01485,37724.13,0,37724.13,,2072940
BRV-APR18-1143,C0001440,26/04/2018,MODI TRADERS,-120000,120000,0,,2072958
BRV-APR18-1144,C0012240,26/04/2018,SAKSHI AGENCY,-200000,200000,0,,2072960
BRV-APR18-1145,C0015020,26/04/2018,OM SHIV TRADERS,-700000,700000,0,,2072962
BRV-APR18-1146,C0001300,26/04/2018,MAHESH PRASAD SAHU AND COMPANY,-100000,100000,0,,2072964
BRV-APR18-1147,C0001330,26/04/2018,MANOJ KUMAR KRISHNA KUMAR,-500000,500000,0,,2072966
BRV-APR18-1148,C0002100,26/04/2018,RUCHI ENTERPRISES,-140000,140000,0,,2072968
BRV-APR18-1149,C0009160,26/04/2018,RAJU GUPTA,-400000,400000,0,,2072970
BRV-APR18-1150,C0013940,26/04/2018,RUDRA SALES,-1500000,1500000,0,,2072972
BRV-APR18-1151,C0016660,26/04/2018,PADAM KIRANA STORE,-190000,190000,0,,2072974
BRV-APR18-1153,C0002610,26/04/2018,STAR ENTERPRISES,-960000,960000,0,,2072978
BRV-APR18-1154,C0009650,26/04/2018,GARG MOBILE WORLD,-200000,200000,0,,2072980
BRV-APR18-1155,C0011240,26/04/2018,KHETAN AGENCIES,-600000,600000,0,,2072982
BRV-APR18-1156,C0014930,26/04/2018,MOHIT TRADERS,-95000,95000,0,,2072984
