State,District,LocationType,SyncId,Active
DELHI,CENTRAL DELHI,DISTRICT,,1
DELHI,EAST DELHI,DISTRICT,,1
DELHI,NEW DELHI,DISTRICT,,1
DELHI,NORTH DELHI,DISTRICT,,1
DELHI,NORTH EAST DELHI,DISTRICT,,1
DELHI,NORTH WEST DELHI,DISTRICT,,1
DELHI,SHAHDARA,DISTRICT,,1
DELHI,SOUTH DELHI,DISTRICT,,1
DELHI,SOUTH EAST DELHI,DISTRICT,,1
DELHI,SOUTH WEST DELHI,DISTRICT,,1
DELHI,WEST DELHI,DISTRICT,,1
Andaman und Nico.In.,NICOBAR,DISTRICT,,1
Andaman und Nico.In.,NORTH AND MIDDLE ANDAMAN,DISTRICT,,1
Andaman und Nico.In.,SOUTH ANDAMAN,DISTRICT,,1
ANDRA PRADESH,ANANTHAPUR,DISTRICT,,1
ANDRA PRADESH,CHITTOOR,DISTRICT,,1
ANDRA PRADESH,CUDDAPAH,DISTRICT,,1
ANDRA PRADESH,EAST GODAVARI,DISTRICT,,1
ANDRA PRADESH,GUNTUR,DISTRICT,,1
ANDRA PRADESH,KRISHNA,DISTRICT,,1
ANDRA PRADESH,KURNOOL,DISTRICT,,1
ANDRA PRADESH,NELLORE,DISTRICT,,1
ANDRA PRADESH,SRIKAKULAM,DISTRICT,,1
ANDRA PRADESH,VISAKHAPATNAM,DISTRICT,,1
ANDRA PRADESH,VIZIANAGARAM,DISTRICT,,1
ANDRA PRADESH,WEST GODAVARI,DISTRICT,,1
Arunachal Pradesh,ANJAW,DISTRICT,,1
Arunachal Pradesh,CHANGLANG,DISTRICT,,1
Arunachal Pradesh,EAST KAMENG,DISTRICT,,1
Arunachal Pradesh,EAST SIANG,DISTRICT,,1
Arunachal Pradesh,KRA DAADI,DISTRICT,,1
Arunachal Pradesh,KURUNG KUMEY,DISTRICT,,1
Arunachal Pradesh,LOHIT,DISTRICT,,1
Arunachal Pradesh,LONGDING,DISTRICT,,1
Arunachal Pradesh,LOWER DIBANG VALLEY,DISTRICT,,1
Arunachal Pradesh,LOWER SUBANSIRI,DISTRICT,,1
Arunachal Pradesh,NAMSAI,DISTRICT,,1
