District,City,Area,LocationType,SyncId,Active
AGRA,AGRA,BAAH (ARIHANT),AREA,UP/AGR/003-0090,1
AGRA,AGRA,ACHHNERA (SHAILENDRA),AREA,UP0012,1
AGRA,AGRA,AGRA (DEEP),AREA,UP/AGR/002-2513,1
AGRA,AGRA,AGRA (SANJAY),AREA,UP/AGR/002-2514,1
AGRA,AGRA,AGRA (SINGHAL),AREA,UP/AGR/002-2515,1
AGRA,AGRA,ETMADPUR (RAHUL),AREA,UP/AGR/005-2533,1
AGRA,AGRA,FATEHABAD (PRAVEEN),AREA,UP/AGR/007-2536,1
AGRA,AGRA,KHANDAULI (PRAVEEN),AREA,UP/AGR/008-2541,1
AGRA,AGRA,SHAMSABAD (NAVEEN),AREA,UP/AGR/012-2550,1
AGRA,AGRA,AGRA (NAVRANG),AREA,UP/AGR/002-3379,1
AGRA,AGRA,FATEHPUR SIKRI (KEDAR),AREA,UP/AGR/017-3524,1
AGRA,AGRA,KIRAWALI (RIDDHI),AREA,UP/AGR/010-3566,1
AGRA,AGRA,BARHAN (AKASH),AREA,UP/AGR/004-4079,1
AGRA,AGRA,JAGNER (GAURAV),AREA,UP/AGR/014-4093,1
AGRA,AGRA,AGRA (BALAJI),AREA,UP/AGR/002-4160,1
AGRA,AGRA,AKOLA (SHIV),AREA,UP/AGR/016-4008,1
AGRA,AGRA,AGRA  (BALAJI),AREA,UP/AGR/002-4536,1
ALIGARH,BUDAUN,BABRALA (OM),AREA,UP/ALI/004-4743,1
ALIGARH,ALIGARH,KASIMPUR (BHAGWANDAS),AREA,UP/ALI/023-4776,1
ALIGARH,ALIGARH,GABHANA (KUNAL),AREA,UP/ALI/007-4638,1
ALIGARH,ALIGARH,ALIGARH (MOHINI),AREA,UP/ALI/002-3727,1
ALIGARH,ALIGARH,BIJAIGARH (BANTI),AREA,UP/ALI/021-3357,1
ALIGARH,ALIGARH,NAGLA SALLU (CHANDRA),AREA,UP/ALI/020-2890,1
ALIGARH,ALIGARH,KHAIR (MADAN),AREA,UP/ALI/013-2815,1
ALIGARH,ALIGARH,JATTARI (GOVIND),AREA,UP/ALI/010-1942,1
ALIGARH,ALIGARH,MADRAK,AREA,UP/ALI/015-1003,1
ALIGARH,ALIGARH,KHAIR (DURGA),AREA,UP/ALI/013-1024,1
ALIGARH,ALIGARH,AKRAVAD,AREA,UP/ALI/001-1219,1
ALIGARH,ALIGARH,KAURIAGANJ (HARISH),AREA,UP/ALI/012-0393,1
ALIGARH,ALIGARH,CHHARRA (BANSAL),AREA,UP/ALI/006-0806,1
ALIGARH,ALIGARH,CHANDAUS (SAI),AREA,UP/ALI/005-0871,1
ALIGARH,ALIGARH,ATRAULI (SHIV),AREA,UP/ALI/003-0932,1
ALIGARH,ALIGARH,HARDUAGANJ,AREA,UP/ALI/009-0971,1
ALIGARH,BUDAUN,GUNNAUR (SUBHASH),AREA,UP/BUD/017-1636,1
BANDA,BANDA,KAMASIN (SHIVHARE),AREA,UP/BAN/008-0953,1
BANDA,BANDA,NARAINEE (OMAR),AREA,UP/BAN/009-0699,1
BANDA,BANDA,BABERU(LUCKY),AREA,UP/BAN/002-0518,1
BANDA,BANDA,BISANDA,AREA,UP/BAN/005-0549,1
BANDA,BANDA,BADAUSA,AREA,UP/BAN/003-0556,1
BANDA,BANDA,TINDWARI (SUBHAM),AREA,UP/BAN/010-1040,1
BANDA,BANDA,ATARRA (SWAGAT),AREA,UP/BAN/001-1068,1
BANDA,BANDA,BANDA (PITAMBARA),AREA,UP/BAN/004-2061,1
BANDA,BANDA,KALINZAR (NEEL),AREA,UP/BAN/007-3216,1
BARABANKI,BARABANKI,TEHSIL- FATEHPUR,AREA,UP/BAR/014-1038,1
BARABANKI,BARABANKI,TIKAIT NAGAR (MAHESH),AREA,UP/BAR/015-1269,1
BARABANKI,BARABANKI,HAIDERGARH (BHARAT),AREA,UP/BAR/013-0166,1
BARABANKI,BARABANKI,RAM NAGAR (PANDEY),AREA,UP/BAR/021-3521,1
BARABANKI,BARABANKI,SIDHAUR (ANSARI),AREA,UP/BAR/024-4495,1
CHITRAKOOT,CHITRAKOOT,KARWI (AVANESH),AREA,UP/CHI/001-2469,1
CHITRAKOOT,CHITRAKOOT,MAU (ASHUTOSH),AREA,UP/CHI/002-0115,1
CHITRAKOOT,CHITRAKOOT,MANIKPUR (SHYAM),AREA,UP/CHI/005-0349,1
CHITRAKOOT,CHITRAKOOT,SHIVRAMPUR (MANOJ),AREA,UP/CHI/004-0581,1
CHITRAKOOT,CHITRAKOOT,RAJAPUR,AREA,UP/CHI/003-0764,1
CHITRAKOOT,CHITRAKOOT,KARWI (SUJAL),AREA,UP/CHI/001-3632,1
ETAH,ETAH,ETAH (JAIN),AREA,UP/ETA/014-3100,1
ETAH,ETAH,AWAGARH (BARDHMAN),AREA,UP/ETA/012-3103,1
ETAH,ETAH,NIDHOLI KALAN (SAMAYAK),AREA,UP/ETA/020-3112,1
ETAH,ETAH,KURAWALI (SURENDRA),AREA,UP/ETA/017-3114,1
ETAH,ETAH,SAKEET (VARASANY),AREA,UP/ETA/024-3116,1
ETAH,ETAH,ALIGANJ (SANJAY),AREA,UP/ETA/010-3107,1
ETAH,ETAH,DHUMARI (ASHWANI),AREA,UP/ETA/013-4993,1
ETAH,ETAH,JAITHRA (DEEPAK),AREA,UP/ETA/028-3554,1
ETAH,ETAH,MIRHACHI (GUPTA),AREA,UP/ETA/019-3110,1
ETAH,ETAH,RAJA KA RAMPUR (GOPAL),AREA,UP/ETA/022-3109,1
ETAH,KANSHIRAM NAGAR,AMAPUR (GUPTA),AREA,UP/ETA/011-4003,1
ETAH,KANSHIRAM NAGAR,GANJ DUNDWARA (DURGA),AREA,UP/ETA/029-3163,1
ETAH,KANSHIRAM NAGAR,KASGANJ (JAY),AREA,UP/ETA/016-3101,1
ETAH,KANSHIRAM NAGAR,KASGANJ (OM),AREA,UP/ETA/016-4941,1
ETAH,KANSHIRAM NAGAR,SAHAWAR (GUPTA),AREA,UP/ETA/023-3105,1
ETAH,KANSHIRAM NAGAR,SORON (BALAJI),AREA,UP/ETA/026-3106,1
FIROZABAD,FIROZABAD,FIROZABAD (PANDEY),AREA,UP/FIR/003-2499,1
