DocId*,DistributorSynchid*,PostingDate*,Narration,Amount,crAmount,DrAmount,CompanyCode,Entry No_
AD15/019155,1017,08-11-2015,Invoice AD15/01955,21328,0,21328,1005,4
AD15/019559,1017,12-02-2015,Invoice AD15/01954,76529,0,76529,1006,4
DR/1800000123,1017,11-03-2015,DN : FREIGHT CHARGES : MAULIK ENTERPRISE : MAR'15,562,,,,4
DR/1800000171,1017,31-05-2015,DN : FREIGHT CHARGES : MAULIK ENTERPRISE : MAY'15,338,,,,4
RV/2000029002,1017,01-08-2015,,626,,,,4
RV/2000023497,1017,11-07-2015,,293707,,293707,,4
RV/2000028960,1017,03-08-2015,,615947,,615947,,4
DZ/1400009253,1017,15-09-2015,,-408159.39,408159.39,,,4
RV/2000020328,1017,30-06-2015,,964887,,964887,,4
RV/2000020624,1017,30-06-2015,,802177,,802177,,4
RV/2000020626,1017,30-06-2015,,850283,,850283,,4
RV/2000020629,1017,30-06-2015,,776647,,776647,,4
RV/2000023527,1017,13-07-2015,,843131,,843131,,4
RV/2000023538,3028,13-07-2015,,45703,,45703,,4
RV/2000023539,3028,13-07-2015,,48128,,48128,,4
RV/2000024321,3028,17-07-2015,,803259,,803259,,4
RV/2000024322,3028,17-07-2015,,37713,,37713,,4
RV/2000024333,3028,17-07-2015,,28292,,28292,,4
RV/2000024336,3028,17-07-2015,,178016,,178016,,4
RV/2000027581,3028,29-07-2015,,665404,,665404,,4
RV/2000027630,3028,29-07-2015,,2707351,,2707351,,4
RV/2000027631,3028,29-07-2015,,47897,,47897,,4
RV/2000027637,3028,29-07-2015,,228206,,228206,,4
RV/2000028126,3028,31-07-2015,,1329253,,1329253,,4
RV/2000028130,3028,31-07-2015,,261981,,261981,,
RV/2000028533,3028,31-07-2015,,244399,,244399,,
RV/2000028534,3028,31-07-2015,,124644,,124644,,
RV/2000028535,3028,31-07-2015,,367576,,367576,,
RV/2000028536,3028,31-07-2015,,96612,,96612,,
RV/2000028537,3028,31-07-2015,,6709,,6709,,
RV/2000028538,3028,31-07-2015,,4694,,4694,,
RV/2000028539,3028,31-07-2015,,31571,,31571,,
RV/2000028540,3028,31-07-2015,,356019,,356019,,
RV/2000028545,3028,31-07-2015,,130525,,130525,,
RV/2000030673,3028,05-08-2015,,593341,,593341,,
RV/2000030691,3028,05-08-2015,,19777,,19777,,
RV/2000030718,3028,05-08-2015,,107187,,107187,,
RV/2000031650,3028,11-08-2015,,1438956,,1438956,,
RV/2000031677,3028,11-08-2015,,39794,,39794,,
RV/2000032542,3028,17-08-2015,,1136976,,1136976,,
RV/2000032546,3028,17-08-2015,,43176,,43176,,
RV/2000032550,3028,17-08-2015,,9948,,9948,,
RV/2000036298,3028,31-08-2015,,1905955,,1905955,,
RV/2000036306,3028,31-08-2015,,473728,,473728,,
RV/2000036309,3028,31-08-2015,,26618,,26618,,
RV/2000036806,3028,31-08-2015,,83265,,83265,,
RV/2000037081,3028,31-08-2015,,92974,,92974,,
RV/2000037085,3028,31-08-2015,,35908,,35908,,
RV/2000037086,3028,31-08-2015,,23056,,23056,,
RV/2000037087,3028,31-08-2015,,239535,,239535,,
RV/2000037089,3028,31-08-2015,,60038,,60038,,
RV/2000037090,3039,31-08-2015,,79630,,79630,,
RV/2000037092,3039,31-08-2015,,139609,,139609,,
RV/2000037093,3039,31-08-2015,,55073,,55073,,
RV/2000037094,3039,31-08-2015,,272498,,272498,,
RV/2000040257,3039,12-09-2015,,260753,,260753,,
RV/2000040259,3039,12-09-2015,,9463,,9463,,
RV/2000040260,3039,12-09-2015,,18222,,18222,,
AB/100025116,3039,16-05-2015,,4898.39,,4898.39,,
UE/400002816,3039,27-03-2015,ALS PIPE ENTERPRISES,1477355,,1477355,,
UE/400002821,3039,29-03-2015,ALS PIPE ENTERPRISES,11518,,11518,,
DZ/1400001925,3039,13-05-2015,,-493771.39,493771.39,,,
DZ/1400002075,3039,15-05-2015,,-500000,500000,,,
DZ/1400002106,3039,16-05-2015,,-500000,500000,,,
