State,District,LocationType,SyncId,Active
UP,AGRA,DISTRICT,UP0001,1
UP,ALIGARH,DISTRICT,UP0002,1
UP,BANDA,DISTRICT,UP0011,1
UP,BARABANKI,DISTRICT,UP0012,1
UP,BUDAUN,DISTRICT,UP0016,1
UP,CHITRAKOOT,DISTRICT,UP0019,1
UP,ETAH,DISTRICT,UP0021,1
UP,FIROZABAD,DISTRICT,UP0026,1
UP,HAMIRPUR,DISTRICT,UP0032,1
UP,HARDOI,DISTRICT,UP0033,1
UP,HATHRAS,DISTRICT,UP0034,1
UP,JALAUN,DISTRICT,UP0035,1
UP,JAUNPUR,DISTRICT,UP0036,1
UP,JHANSI,DISTRICT,UP0037,1
UP,LAKHIMPUR KHIRI,DISTRICT,UP0045,1
UP,LALITPUR,DISTRICT,UP0046,1
UP,LUCKNOW,DISTRICT,UP0047,1
UP,MAHOBA,DISTRICT,UP0049,1
UP,MAINPURI,DISTRICT,UP0050,1
UP,MATHURA,DISTRICT,UP0051,1
UP,PRATAPGARH,DISTRICT,UP0058,1
UP,RAIBARELI,DISTRICT,UP0059,1
UP,SITAPUR,DISTRICT,UP0067,1
UP,SULTANPUR,DISTRICT,UP0069,1
UP,UNNAO,DISTRICT,UP0070,1
UP,KANSHIRAM NAGAR,DISTRICT,UP0042,1
