Region,State,LocationType,SyncId,Active,STD
East,Andaman und Nico.In.,STATE,,1,2255
East,Andra Pradesh,STATE,,1,
East,Arunachal Pradesh,STATE,,1,
East,Assam,STATE,,1,
East,Bihar,STATE,,1,
East,Chandigarh,STATE,,1,
East,Chhaattisgarh,STATE,,1,
East,Daman und Diu,STATE,,1,
East,Delhi,STATE,,1,
West,Dadra & Nagar Haveli,STATE,,1,
West,Goa,STATE,,1,
West,Gujarat,STATE,,1,
West,Himachal Pradesh,STATE,,1,
West,Haryana,STATE,,1,
North,Jharkhand,STATE,,1,
North,Jammu und Kashmir,STATE,,1,
North,Karnataka,STATE,,1,
North,Kerala,STATE,,1,
North,Lakshadweep,STATE,,1,
North,Maharashtra,STATE,,1,
North,Megalaya,STATE,,1,
South,Manipur,STATE,,1,
South,Madhya Pradesh,STATE,,1,
South,Mizoram,STATE,,1,
South,Nagaland,STATE,,1,
South,Orissa,STATE,,1,
South,Punjab,STATE,,1,
South,Pondicherry,STATE,,1,
South,Rajasthan,STATE,,1,
South,Sikkim,STATE,,1,
South,Telengana,STATE,,1,
South,Tamil Nadu,STATE,,1,
South,Tripura,STATE,,1,
South,Uttaranchal,STATE,,1,
South,Uttar Pradesh,STATE,,1,
South,West Bengal,STATE,,1,
